Name,Points,Time,CorrectMinValue,CorrectIndex,Timestamp
Kokkos,100000,0.0000453600,1,1,2025-11-07 08:21:01
Kokkos,1000000,0.0000899200,1,1,2025-11-07 08:21:01
Kokkos,10000000,0.0001697710,1,1,2025-11-07 08:21:01
Kokkos,100000000,0.0003424930,1,1,2025-11-07 08:21:01
Kokkos,1000000000,0.0017819830,1,1,2025-11-07 08:21:01
Kokkos,1000,0.0000571000,1,1,2025-11-07 08:22:46
Kokkos,10000,0.0000478610,1,1,2025-11-07 08:22:46
Kokkos,100000,0.0000461200,1,1,2025-11-07 08:22:46
Kokkos,1000000,0.0000702800,1,1,2025-11-07 08:22:46
Kokkos,10000000,0.0001940420,1,1,2025-11-07 08:22:46
Kokkos,100000000,0.0003324020,1,1,2025-11-07 08:22:46
Kokkos,1000000000,0.0017831630,1,1,2025-11-07 08:22:46
Kokkos,1000,0.0000487910,1,1,2025-11-07 08:24:31
Kokkos,10000,0.0000352010,1,1,2025-11-07 08:24:31
Kokkos,100000,0.0000462500,1,1,2025-11-07 08:24:31
Kokkos,1000000,0.0000871500,1,1,2025-11-07 08:24:31
Kokkos,10000000,0.0001675110,1,1,2025-11-07 08:24:31
Kokkos,100000000,0.0003232330,1,1,2025-11-07 08:24:31
Kokkos,1000000000,0.0017893230,1,1,2025-11-07 08:24:31
Kokkos,1000,0.0000444300,1,1,2025-11-07 08:26:15
Kokkos,10000,0.0000399900,1,1,2025-11-07 08:26:15
Kokkos,100000,0.0000509510,1,1,2025-11-07 08:26:15
Kokkos,1000000,0.0000865300,1,1,2025-11-07 08:26:15
Kokkos,10000000,0.0001816620,1,1,2025-11-07 08:26:15
Kokkos,100000000,0.0003337520,1,1,2025-11-07 08:26:15
Kokkos,1000000000,0.0017911030,1,1,2025-11-07 08:26:15
